karmn,Name,RAJ2000,DEJ2000,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],vsini,e_vsini,E_vsini
J05365+113,V2689 Ori,84.12911430606,11.32761830865,4139,48,51,4.66,0.02,0.04,0.13,0.14,0.08,3.85,0.51,0.19
J05366+112,2MASS J05363846+1117487,84.16024229906,11.2966132947,3219,11,33,4.94,0.02,0.07,-0.03,0.4,0.07,6.13,0.31,0.28
J05415+534,HD 233153,85.37807337011,53.48750978877,3839,32,55,4.68,0.03,0.02,0.12,0.03,0.07,3.47,0.18,0.39
J05421+124,V1352 Ori,85.54770759482,12.48235991779,3391,25,41,4.88,0.05,0.04,0.03,0.17,0.03,1.97,0.42,0.31
J06000+027,G 099-049,90.0159764416,2.7063740799,3185,17,28,4.97,0.04,0.04,-0.11,0.41,0.05,8.15,0.24,0.47
J06011+595,G 192-013,90.29510135819,59.59306278611,3304,18,39,4.92,0.06,0.02,-0.02,0.13,0.04,2.62,0.26,0.17
J06024+498,G 192-015,90.62210758518,49.86182103676,3136,31,14,5.02,0.05,0.08,0.05,0.1,0.1,2.6,0.57,0.21
J06103+821,GJ 226,92.58432174711,82.10081629101,3585,43,14,4.76,0.03,0.07,-0.15,0.08,0.08,2.49,0.18,0.21
J06105-218,HD 42581 A,92.64357908168,-21.86782311323,3857,32,63,4.68,0.03,0.03,0.04,0.04,0.08,2.75,0.22,0.44
J06246+234,Ross 64,96.17468890917,23.43077856957,3327,26,32,4.96,0.06,0.03,-0.1,0.12,0.12,2.86,0.21,0.21
J06371+175,HD 260655,99.29143146488,17.56631651774,3885,52,48,4.73,0.05,0.05,-0.41,0.13,0.11,2.57,0.25,0.43
J06396-210,LP 780-032,99.90509624943,-21.02553280795,3269,17,33,4.89,0.02,0.08,-0.09,0.04,0.1,3.72,0.35,0.15
J06421+035,G 108-021,100.54682814138,3.58013517318,3494,34,25,4.8,0.02,0.08,-0.06,0.14,0.03,2.07,0.19,0.29
J06548+332,Wolf 294,103.70012922714,33.26640801817,3448,25,29,4.81,0.03,0.07,-0.08,0.13,0.05,2.24,0.22,0.26
J06574+740,2MASS J06572616+7405265,104.35739272726,74.09057160646,3219,26,45,4.89,0.05,0.04,0.05,0.15,0.04,31.23,0.93,0.61
J06594+193,GJ 1093,104.87435115777,19.34487368505,3085,42,10,5.08,0.09,0.05,0.17,0.16,0.06,2.55,0.64,0.27
J07033+346,LP 255-011,105.84622747575,34.69823331245,3197,10,27,4.96,0.03,0.08,-0.05,0.4,0.08,5.43,0.35,0.23
J07044+682,GJ 258,106.1122482527,68.28901639536,3511,36,22,4.77,0.03,0.06,-0.01,0.12,0.04,2.35,0.14,0.26
J07274+052,Luytens Star,,,3402,26,34,4.88,0.06,0.03,0.01,0.16,0.03,2.12,0.17,0.31
J07287-032,GJ 1097,112.19128658652,-3.30164700652,3491,36,23,4.79,0.03,0.08,-0.07,0.14,0.04,2.09,0.19,0.29
J07319+362N,BL Lyn,112.98739022538,36.228664834,3291,12,37,4.9,0.04,0.08,0.03,0.36,0.06,5.86,0.4,0.2
J07353+548,GJ 3452,113.84028667734,54.84977307864,3571,43,19,4.79,0.03,0.08,-0.16,0.12,0.08,2.17,0.2,0.22
J07361-031,BD-02 2198,114.02980309738,-3.11206440977,3865,43,49,4.7,0.04,0.02,0.14,0.05,0.08,5.28,0.28,0.27
J07386-212,LP 763-001,114.67284553042,-21.22669095626,3411,22,27,4.88,0.06,0.03,-0.15,0.07,0.08,2.67,0.22,0.23
J07393+021,BD+02 1729,114.8453404773,2.1825730064,4087,55,47,4.67,0.03,0.03,0.09,0.13,0.08,2.51,0.31,0.5
J07472+503,2MASS J07471385+5020386,116.80766643936,50.34438118151,3198,21,22,4.92,0.05,0.02,-0.1,0.1,0.09,13.58,0.49,0.18
J07558+833,GJ 1101,118.96345515735,83.38204366283,3162,24,13,4.89,0.02,0.06,-0.12,0.07,0.08,15.98,0.43,0.21
J07582+413,GJ 1105,119.55420831739,41.30064250417,3330,28,23,4.9,0.06,0.02,0.01,0.16,0.02,2.13,0.3,0.24
J08119+087,Ross 619,122.9946825611,8.75040152206,3316,18,39,4.97,0.06,0.04,-0.23,0.05,0.16,3.61,0.17,0.24
J08126-215,GJ 300,123.17043503163,-21.55502398567,3284,20,39,4.9,0.06,0.02,0.06,0.11,0.04,2.56,0.23,0.24
J08161+013,GJ 2066,124.03158305458,1.30284272698,3668,40,15,4.72,0.02,0.07,-0.14,0.08,0.07,2.41,0.25,0.22
J08293+039,2MASS J08292191+0355092,127.34088758916,3.91894899211,3626,11,52,4.71,0.02,0.04,0.04,0.04,0.05,3.05,0.15,0.36
J08315+730,LP 035-219,127.88482170746,73.0639299446,3442,25,36,4.82,0.03,0.07,-0.01,0.14,0.03,1.97,0.3,0.35
J08358+680,G 234-037,128.94437156732,68.06670261378,3450,9,51,4.85,0.07,0.02,-0.14,0.04,0.09,3.18,0.19,0.22
J08402+314,LSPM J0840+3127,130.06766840126,31.45242630658,3381,27,32,4.9,0.06,0.03,-0.0,0.15,0.04,2.4,0.17,0.22
J08409-234,LP 844-008,130.24445565917,-23.45269701927,3462,26,32,4.79,0.03,0.06,0.05,0.09,0.03,2.15,0.17,0.28
J08413+594,LP 090-018,130.33159038955,59.49165865054,3050,20,27,5.08,0.1,0.04,0.11,0.14,0.08,3.49,0.52,0.44
J08526+283,rho Cnc B,133.16783218849,28.31525242185,3272,20,38,4.9,0.06,0.02,0.11,0.14,0.02,2.13,0.3,0.28
J09005+465,GJ 1119,135.13226060522,46.58408859435,3183,24,21,4.97,0.04,0.09,-0.02,0.16,0.14,3.76,0.42,0.22
J09028+680,LP 060-179,135.72254605697,68.06446038567,3428,28,39,4.85,0.03,0.06,0.01,0.17,0.03,2.03,0.27,0.32
J09133+688,G 234-057,138.34761177342,68.87418195251,3597,23,41,4.72,0.02,0.05,0.07,0.05,0.04,4.35,0.12,0.36
J09140+196,LP 427-016,138.51257175913,19.6675599838,3511,12,51,4.78,0.06,0.03,0.03,0.03,0.06,3.5,0.22,0.29
J09143+526,HD 79210,138.58356161522,52.68408016691,4148,60,35,4.66,0.02,0.04,-0.03,0.09,0.09,2.75,0.48,0.38
J09144+526,HD 79211,138.59131179667,52.68342944184,4099,58,47,4.66,0.03,0.03,-0.01,0.09,0.09,2.67,0.44,0.4
J09161+018,RX J0916.1+0153,139.04266578606,1.88533615119,3205,22,29,4.91,0.02,0.06,-0.18,0.11,0.09,14.6,0.44,0.22
J09163-186,LP 787-052,139.08454259852,-18.62515602142,3619,13,45,4.76,0.05,0.02,-0.01,0.06,0.04,3.74,0.18,0.26
J09307+003,GJ 1125,142.68324346444,0.32022324372,3386,26,28,4.88,0.06,0.03,-0.05,0.12,0.04,2.44,0.24,0.21
J09360-216,GJ 357,144.00748512334,-21.66520085526,3546,44,17,4.81,0.03,0.07,-0.22,0.11,0.07,2.33,0.21,0.24
J09411+132,Ross 85,145.29015483359,13.20892597981,3680,45,15,4.72,0.03,0.04,-0.02,0.06,0.05,2.96,0.18,0.25
J09423+559,GJ 363,145.59099004006,55.98142639896,3420,24,40,4.85,0.06,0.03,0.05,0.12,0.03,2.19,0.14,0.28
J09425+700,GJ 360,145.63642599575,70.03267406175,3539,17,48,4.76,0.04,0.04,0.09,0.05,0.04,4.01,0.13,0.35
J09428+700,GJ 362,145.70679590922,70.03823099188,3408,13,53,4.85,0.07,0.02,0.02,0.06,0.06,4.01,0.37,0.13
J09439+269,Ross 93,145.9788403638,26.9685526196,3441,19,39,4.82,0.04,0.06,0.01,0.14,0.03,2.19,0.17,0.25
J09447-182,GJ 1129,146.18979553814,-18.21436369865,3337,28,27,4.9,0.06,0.02,0.04,0.16,0.01,2.14,0.28,0.26
J09468+760,BD+76 3952,146.70363523804,76.03947042549,3971,36,75,4.68,0.05,0.04,-0.25,0.04,0.16,1.47,0.19,0.19
J09511-123,BD-11 2741,147.79534254143,-12.33632371948,3957,65,38,4.69,0.04,0.03,-0.21,0.04,0.13,1.52,0.03,0.89
J09561+627,BD+63 869,149.03317491182,62.78586947843,4040,51,47,4.66,0.02,0.04,0.12,0.12,0.05,2.76,0.17,0.52
J10023+480,BD+48 1829,150.58641971895,48.08224673491,4080,53,74,4.67,0.06,0.02,-0.15,0.05,0.15,1.48,0.17,0.22
J10122-037,AN Sex,153.07293731001,-3.74674755302,3720,40,30,4.69,0.02,0.03,0.06,0.04,0.05,3.4,0.13,0.4
J10125+570,LP 092-048,153.14209679387,57.06123755179,3394,25,27,4.87,0.06,0.03,-0.09,0.1,0.07,2.37,0.25,0.22
J10167-119,GJ 386,154.18955538044,-11.96446467006,3688,45,14,4.72,0.03,0.03,0.0,0.09,0.05,2.01,0.3,0.31
J10196+198,AD Leo,154.89881370111,19.86980990545,3390,32,37,4.86,0.03,0.08,-0.0,0.32,0.04,8.06,0.45,0.21
J10251-102,BD-09 3070,156.2920240682,-10.22815208004,3774,28,48,4.7,0.04,0.01,0.04,0.04,0.05,3.16,0.13,0.49
